municipio,num,nome,partidocoligacao,votacao,validos,state,segundo_turno
BANZAÊ,13,JAILMA,PT/PT / PSD / PSL / PTN / SD / PRTB / PP / PPL / PC do B / PSOL,4111,54.3%,Bahia,false
BARRA,45,DEONISIO,PSDB/PSDB / PPS / PV / PMDB / DEM / PEN / PSB,13948,53.41%,Bahia,false
BARRA DA ESTIVA,14,JOÃO DE DIDI,PTB/PTB / PSL / DEM / PDT / PRB / PP / PC do B,9018,56.2%,Bahia,false
BARRA DO CHOÇA,45,ADIODATO,PSDB/PSDB / DEM / PTB / PSC / PTC / PEN / PMDB / PTN / PSD,10313,51.29%,Bahia,false
BARRA DO MENDES,15,GALEGO,PMDB/PMDB / PR / PTN / PSL / PT,5946,68.99%,Bahia,false
BARRA DO ROCHA,40,PROFESSOR LÉO,PSB/PSB / PMDB / PRB / PROS / SD,1753,52.82%,Bahia,false
BARREIRAS,25,ZITO BARBOSA,DEM/PRB / PDT / PTB / PMDB / PSC / PPS / DEM / PHS / PMB / PT do B / SD / PSD / PEN,36186,49.67%,Bahia,false
BARRO ALTO,15,ORLANDO,PMDB/PMDB / PROS / PSDB / PV / PSB / PP / PPS / SD,4409,58.69%,Bahia,false
BARROCAS,15,JAI DE BARROCAS,PMDB/PMDB / DEM / PHS / PV,5769,52.02%,Bahia,false
BARRO PRETO,15,ANA PAULA,PMDB/PMDB / PSDB / DEM / PC do B / PV,2490,52.62%,Bahia,false
BELMONTE,19,JANIO NATAL,PTN/PTN / PC do B / PMB / PTC / PSDB / PV / PT do B / PROS / PEN,4896,40.42%,Bahia,false
BELO CAMPO,55,QUINHO,PSD/PSD / PRB / PSDB,5897,53.32%,Bahia,false
BIRITINGA,12,CELSO DA SUCAM,PDT/PP / PT / PSOL / PR / PSB / DEM / PDT / PC do B / PSL,5784,64.99%,Bahia,false
BOA NOVA,25,ADONIAS ROCHA,DEM/PSD / DEM / PHS / PTB / PSDB,4640,51.48%,Bahia,false
BOA VISTA DO TUPIM,45,DINHO,PSDB/PSDB / PMDB / PSB / PV / PSC / PPS / DEM / PP / PDT,6138,59.67%,Bahia,false
BOM JESUS DA LAPA,55,EURES RIBEIRO,PSD/PRB / PP / PT / PTB / PSL / PTN / PSC / PR / PPS / DEM / PSDC / PHS / PRP / PEN / PC do B / PROS / PSD,24589,78%,Bahia,false
BOM JESUS DA SERRA,55,GAZZO,PSD/PSD / SD / DEM / PSDB / PTN / PC do B / PRP,3575,53.84%,Bahia,false
BONINAL,14,AURÉLIO,PTB/PTB / PP / PSL / DEM / PV / PSDB,3336,44.45%,Bahia,false
BONITO,55,REINAN DE LOURINHO,PSD/PSD / PP / PRB / PSL / PDT / PR / DEM / PRP,4876,50.71%,Bahia,false
BOQUIRA,40,LUCIANO DA FARMACIA,PSB/PSB / PP / PT / PSL / PTN / PR,7573,62.91%,Bahia,false
BOTUPORÃ,25,TAVIM,DEM/PMDB / DEM / PTN / PR / PSB / PSDB / PRP,4015,50.26%,Bahia,false
BREJÕES,18,SANDRO DE JUCA,REDE/REDE,3823,50.22%,Bahia,false
BREJOLÂNDIA,22,MAZIM,PR/PRB / PP / PDT / PT / PSL / PR / PPS / PSDB,3595,50.39%,Bahia,false
BROTAS DE MACAÚBAS,13,JUNIOR,PT/PT / PC do B / PSC / PEN,3820,52.78%,Bahia,false
BRUMADO,40,EDUARDO VASCONCELOS,PSB/PR / PSB / PDT / PSDB / PPS / PC do B / PEN,22370,69.17%,Bahia,false
BUERAREMA,45,VINÍCIUS DE ORLANDO FILHO,PSDB/PTN / PSDC / PRTB / PMB / PTC / PV / PSDB / PEN / PSD / PTB,5355,58.6%,Bahia,false
BURITIRAMA,11,DEDÊ,PP/PP,5613,51.39%,Bahia,false
CAATIBA,22,TANIA RIBEIRO,PR/PSD / PT do B / PC do B / PR / PTC,3115,52.42%,Bahia,false
CABACEIRAS DO PARAGUAÇU,14,ABEL,PTB/PTB / DEM / PMDB / PP / PR / PEN / PRB,4566,50.04%,Bahia,false
CACHOEIRA,45,TATO,PSDB/DEM / PROS / PSDB / PT do B / PTB / PSL / PSDC / PRP,11920,62.6%,Bahia,false
CACULÉ,25,BETO MARADONA,DEM/DEM / PTC / PSDB / PMDB / PR / PHS / PSC,6475,50.44%,Bahia,false
CAEM,15,GILBERTO MATOS,PMDB/PMDB / SD / DEM / PTN / PP / PEN,3276,51.37%,Bahia,false
CAETANOS,65,PAULO DE REIS,PC do B/PC do B / PP / PDT / PRB,4905,64.74%,Bahia,false
CAETITÉ,40,ALDO GONDIM,PSB/PSB / PT / PDT / PTB / PSL / PR / PSD / PC do B / PRB,14270,45.53%,Bahia,false
CAFARNAUM,22,SUELI,PR/PR / PT / PRB / PC do B,5268,50.12%,Bahia,false
CAIRU,55,FERNANDO BRITO,PSD/PSD / PR / PDT / PC do B / PT do B / PPL,5740,51.44%,Bahia,false
CALDEIRÃO GRANDE,12,CANDINHO,PDT/PDT / PMDB / SD / PSDB / PSC / PV / PSB / PROS / PR,3675,50.83%,Bahia,false
CAMACÃ,55,OZIEL DA AMBULÂNCIA,PSD/PSD / PSDC / PTN / PR / PDT / PROS / PMDB / PTC / PSB,5447,42.02%,Bahia,false
CAMAÇARI,25,ELINALDO,DEM/PDT / PTB / PMDB / PSC / DEM / PRTB / PMB / PV / PSDB / PPS,73994,60.84%,Bahia,false
CAMAMU,40,LUIZINHO,PSB/PRB / PP / PMDB / PSL / PR / PEN / PSB / SD / PROS / PSC,6551,79.98%,Bahia,false
CAMPO ALEGRE DE LOURDES,65,DR. ENILSON,PC do B/PC do B / PT / PSB / PPS / PROS / PRB,10076,62.76%,Bahia,false
CAMPO FORMOSO,55,ROSE MENEZES,PSD/PSD / PSL / PC do B / PR / PTN / PROS / PT / PSB,21269,52.23%,Bahia,false
CANÁPOLIS,22,MYRIAM,PR/PR / PSL / PTN / PSB / PROS,4345,62.46%,Bahia,false
CANARANA,22,ZENI,PR/PR / PMDB / SD / PRP,6717,48.87%,Bahia,false
CANAVIEIRAS,23,DR. ALMEIDA,PPS/PPS / DEM / PEN / PRB / PROS,6083,36.87%,Bahia,false
CANDEAL,25,EVERTON CERQUEIRA,DEM/DEM / PMDB / PTN / PC do B / PTB,3465,57.1%,Bahia,false
CANDIBA,55,JARBAS,PSD/PRB / PR / PRP / PSD / PC do B / PROS,5440,61.98%,Bahia,false
CÂNDIDO SALES,44,LÔRA PONTES,PRP/PP / PRB / PDT / REDE / PSC / PR / DEM / PPS / PRP / PSD,7580,54.52%,Bahia,false
CANSANÇÃO,22,PAULINHO,PR/PSD / PSC / PMDB / PPS / PSDB / PEN / PROS / PR,10320,51.4%,Bahia,false
CANUDOS,55,GEO,PSD/PSD / PSL / PMDB / PDT / PT / PSB / PC do B,4884,50.06%,Bahia,false
CAPELA DO ALTO ALEGRE,65,DR. NEI,PC do B/PC do B / PSL / PRB / PP / PT / PMDB / PMB,4026,55.17%,Bahia,false
CAPIM GROSSO,55,DRA. LYDIA,PSD/PRB / PDT / PR / PHS / PSB / PSD / PROS / PC do B / PT,9081,54.16%,Bahia,false
CARAÍBAS,55,JONES,PSD/PP / PR / PMB / PSB / PSD / PTC,3467,52.94%,Bahia,false
CARAVELAS,15,SÍLVIO,PMDB/PRB / PMDB / PSC / PSDC / PHS / PTC / PV / PSDB / PSD / PC do B / PT do B,6906,63.95%,Bahia,false
CARDEAL DA SILVA,19,MARIANE,PTN/PTN / PSD / PSDB / PROS / PTC / PHS,3219,59.56%,Bahia,false
CARINHANHA,12,PIAU,PDT/PDT / PP / DEM / PPS / PHS / PR / PTN / PEN / PSDB,8526,51.99%,Bahia,false
CASA NOVA,40,WILKER DO POSTO,PSB/PT / PTB / PSB,22121,53.9%,Bahia,false
CASTRO ALVES,45,THIANCLE,PSDB/PRB / PTB / PMDB / PSL / DEM / PTC / PSB / PSDB / PEN / PSD / PC do B,10135,58.06%,Bahia,false
CATOLÂNDIA,13,PIMENTEL,PT/PT / PC do B / PSD / PP,1641,51.86%,Bahia,false
CATU,13,GERA,PT/PT / PSB / PC do B / PSD / PRB / PRTB / PSL / PHS / PPL / PTN / PROS,16471,55.26%,Bahia,false
CATURAMA,55,DR PAULO,PSD/PSD / PTC / PC do B / DEM,3424,52.24%,Bahia,false
CENTRAL,55,MONTEIRO,PSD/PSD / PT / PHS / PRB / PTC,5752,55.9%,Bahia,false
CHORROCHÓ,11,HUMBERTO,PP/PP / PC do B / PR / PRTB / DEM / PDT / PT / PSL,3960,53.57%,Bahia,false
CÍCERO DANTAS,11,DR RICARDO,PP/PP / PT / PTB / PSB / PSDC / PSL / PSD / PSC / PPS,10388,54.31%,Bahia,false
CIPÓ,13,DR. ABEL ARAÚJO,PT/PT / PMB / PR / PP,5030,49.24%,Bahia,false
COARACI,25,JADSON ALBANO,DEM/PRB / PDT / PR / DEM / PPS / PSDC / PV / PSDB / SD,6859,55.48%,Bahia,false
COCOS,22,DR MARCELO,PR/PR / PSL / PTC / PHS / PSB / PSDB / PSC / PSD / SD / PT / PRP,6167,50.13%,Bahia,false
CONCEIÇÃO DA FEIRA,55,POMPÍLIO,PSD/PSD / DEM / PTN / PTC / PV / SD / PC do B / PDT / PSB,6509,50.78%,Bahia,false
CONCEIÇÃO DO ALMEIDA,55,ITO DE BÊGA,PSD/PSD / PSL / PTC / PTN / PDT / PRB / PP / PR / PSB / PSDB / PHS,7882,68.59%,Bahia,false
CONCEIÇÃO DO COITÉ,13,ASSIS,PT/PT / PP / PTB / PSB / PSD / PC do B / PT do B,22198,53.06%,Bahia,false
CONCEIÇÃO DO JACUÍPE,10,NORMÉLIA CORREIA,PRB/PRB / PROS / PPL / PSDB / PC do B / PSC / PR / PMB,10078,87.12%,Bahia,false
CONDE,15,DUDU VIEIRA,PMDB/PMDB / PDT / PSL / PSDB / PT do B / SD,8466,66.78%,Bahia,false
CONDEÚBA,15,SILVAN BALEEIRO,PMDB/PMDB / PR / DEM / PSDB / PSD / PROS,5746,52.02%,Bahia,false
CONTENDAS DO SINCORÁ,22,DIDI,PR/PP / PSB / PR / PSD / SD,1792,54.73%,Bahia,false
CORAÇÃO DE MARIA,13,PAIM DA FARMACIA,PT/PPS / PRTB / PTC / PSC / PP / PT / PMB / PC do B / PROS / PTB,8245,54.2%,Bahia,false
CORDEIROS,55,DELCI,PSD/PP / PT / PSB / PC do B / PSD,2905,55.79%,Bahia,false
CORIBE,22,MANUEL ROCHA,PR/PR / PDT / PHS / PMDB / PP / PPS / PRB / PRTB / PSB / PSD / PSDB / PT,6521,71.87%,Bahia,false
CORONEL JOÃO SÁ,15,CARLINHOS SOBRAL,PMDB/PRB / PMDB / DEM / PC do B / PSDB / PR,5623,50.26%,Bahia,false
CORRENTINA,45,EZEQUIEL BARBOSA,PSDB/PSDB / PMDB / DEM / PR / PSC / PTN,9217,1%,Bahia,false
COTEGIPE,11,MÁRCIA SÁ TELES,PP/PP / PSL / PPS / PV / PROS,4893,52.46%,Bahia,false
CRAVOLÂNDIA,55,IVETE,PSD/PSD / PHS / PRB / PDT / SD / PSC / PSL / PRP,2215,67.2%,Bahia,false
CRISÓPOLIS,20,EDINAL COSTA,PSC/PHS / PSC / PRB / PP / PSD,5921,94.75%,Bahia,false
CRISTÓPOLIS,55,GILSON DA FARMÁCIA,PSD/PSD / PHS / PSDB / PPS / PSC / PRB / PT / DEM,5183,52.24%,Bahia,false
CRUZ DAS ALMAS,13,ORLANDINHO,PT/PT / PP / PROS / PSL / PHS / PSD / PTN / PTB / PC do B,17145,49.03%,Bahia,false
CURAÇÁ,20,PEDRO OLIVEIRA,PSC/PRB / PSC / PR / PRTB / PMB / PEN / PROS / PSL / PC do B / PPS / PSD,8345,61.57%,Bahia,false
DÁRIO MEIRA,45,WILLIAM DE ALEMAO,PSDB/PSDB / PC do B / PSB / PT / PMB / PPL / DEM / PMDB,2960,50.9%,Bahia,false
DIAS D'ÁVILA,13,JUSSARA,PT/PT / PSD / SD / PSC / PTB / PRTB / PRP / PROS / PPS / PTN / PC do B,15791,45.46%,Bahia,false
DOM BASÍLIO,22,ROBERVAL GALEGO,PR/PR / PDT / PTB / PP / PPS / PTC / PEN / PSD / PC do B / PROS,5045,60.03%,Bahia,false
DOM MACEDO COSTA,13,GUITO DA SAÚDE,PT/PT / PR / SD / DEM / PC do B,1884,56.85%,Bahia,false
ELÍSIO MEDRADO,55,ROBSON,PSD/REDE / PC do B / PDT / SD / PROS / PT / PSD / PRP,3331,54.66%,Bahia,false
ENCRUZILHADA,15,DR. LEI,PMDB/PMDB / PHS / PSDB / PDT / PT do B / PSD,4817,43.52%,Bahia,false
ENTRE RIOS,12,ELIZIO SIMÕES,PDT/PDT / PSL / PT / PSDC,9408,42.9%,Bahia,false
ÉRICO CARDOSO,55,DR. ERICO,PSD/PSD / DEM / PDT / PT / PSC / PTN,3743,56.69%,Bahia,false
ESPLANADA,10,FRANCO DE ALDEMIR,PRB/PRB / PP / PPS / DEM / PV / PSD / SD,9485,50.85%,Bahia,false
EUCLIDES DA CUNHA,12,DR. LUCIANO,PDT/PDT / PSB / DEM / PSDB / PMDB / PR / PTB / PRB / PPS / PV / PRTB,16735,51.9%,Bahia,false
EUNÁPOLIS,55,ROBERIO OLIVEIRA,PSD/PSD / PP / PTN / PT / PRB / PSL / PSC / PR / PHS / PMN / PC do B / PTC / PTB / PPS,24453,46.13%,Bahia,false
FÁTIMA,11,SORRIA,PP/PP / PR / PSDB / PDT / PPS / PC do B,5854,51.11%,Bahia,false
FEIRA DA MATA,23,CIDIM,PPS/PPS / DEM / PDT / PMDB / PTC,2160,50.36%,Bahia,false
FEIRA DE SANTANA,25,JOSÉ RONALDO,DEM/DEM / PMDB / PPL / PTC / PPS / PSDB / PSDC / PV / PMB / SD / PTB / PRP / PSC / PEN / PSL / PHS / PRB / PT do B,212408,71.12%,Bahia,false
FILADÉLFIA,25,LOURO MAIA,DEM/PMDB / PR / PTB / PRB / PRP / PMN / DEM,4695,43.78%,Bahia,false
FIRMINO ALVES,40,LERO CUNHA,PSB/PTN / PTC / PSB,1974,51.73%,Bahia,false
FLORESTA AZUL,40,GICELIA DE GARRAFÃO,PSB/PSB / PP / PT / PDT / PRP / PSDB,2599,47.3%,Bahia,false
FORMOSA DO RIO PRETO,10,DR. TERMOSIRES,PRB/PRB / PV / PP / PPS / PDT / PEN / DEM / PSDB / PSB / PR / PMB / PSC,8897,59.14%,Bahia,false
GANDU,11,LEO DE NECO,PP/PP / PPS / PTB / PROS / PSDC / PDT / PSC / PCB / PPL / PSDB / PHS / DEM,8147,50.21%,Bahia,false
GAVIÃO,55,RAULZINHO,PSD/PSD / PMDB / PT / PP / PR / PTC / PC do B / PRB / SD,2325,63.65%,Bahia,false
GENTIO DO OURO,12,ROBERIO,PDT/PDT / PSB / PC do B,3944,51.72%,Bahia,false
GLÓRIA,11,DAVID CAVALCANTI,PP/PP / PSL / PSD,5328,53.29%,Bahia,false
GONGOGI,22,KAÇULO,PR/PR / PSD / PC do B / DEM,2224,59.05%,Bahia,false
GOVERNADOR MANGABEIRA,11,MARCELO,PP/PP / PDT / PTB / PMDB / PSL / PSC / DEM / PSDC / PRTB / PMB / PTC / PV / PRP / PC do B / PT do B / SD / PROS,7238,60.95%,Bahia,false
GUAJERU,12,GIL ROCHA,PDT/PDT / PMDB / PRB / PR / SD,2894,55.74%,Bahia,false
GUANAMBI,40,JAIRO MAGALHAES,PSB/PT / PR / PSB / PSD / PC do B / PROS / PSL,23989,50.85%,Bahia,false
GUARATINGA,55,DRª CHRISTINE,PSD/PP / PT / PMDB / PSB / PSD / PRTB / PC do B / PT do B / PROS,7737,66.33%,Bahia,false
HELIÓPOLIS,17,ILDINHO,PSL/PTN / PDT / PROS / PTC / PSC / PSDB / REDE / PSD / PSL / PR / PMDB,4802,50.91%,Bahia,false
IAÇU,23,ADELSON OLIVEIRA,PPS/PPS / SD / PRB / PC do B,6351,43.13%,Bahia,false
IBIASSUCÊ,45,ADAUTO PRATES,PSDB/PSDB / PMDB / DEM / PPS / PP,4186,59.6%,Bahia,false
IBICARAÍ,45,LULA BRANDÃO,PSDB/PSDB / PSC / PEN / PTN / PMB / PTB,5465,40.81%,Bahia,false
IBICOARA,14,HAROLDO,PTB/PTB,4083,36.46%,Bahia,false
IBICUÍ,55,MARCOS,PSD/PSD / PSDB / PC do B,4936,60.71%,Bahia,false
IBIPEBA,17,DEMÓSTENES,PSL/PSL / PTB / PMDB / PSDB / PRP,6031,53.89%,Bahia,false
IBIPITANGA,12,EDYPAN,PDT/PDT / PT / PSD,5808,57.44%,Bahia,false
IBIQUERA,15,DR IVAN,PMDB/PMDB / PSDB / PSDC / PTN / SD,1633,58.4%,Bahia,false
IBIRAPITANGA,55,DR RAVAN,PSD/PSD / PC do B / PT / PMDB / PSL / PSB / PTC,5635,51.75%,Bahia,false
IBIRAPUÃ,11,CALIXTO,PP/PP / PMDB / PROS / PDT,3169,56.04%,Bahia,false
IBIRATAIA,55,ANA CLEIA,PSD/PSD / PMDB / DEM / PEN / PSC / PSDB / PC do B / PRP,5739,51.9%,Bahia,false
IBITIARA,13,BETO,PT/PT / PSB,4642,51.26%,Bahia,false
IBITITÁ,55,CAFU,PSD/PSD / PP / PSL / PR / PC do B / PTB / PSDB / SD,6392,54.09%,Bahia,false
IBOTIRAMA,13,TERENCE LESSA,PT/PT / PSD / PSL / PR / PSC / PTN / PTB / PMDB / PDT / PROS / PRP / PEN / PC do B,7373,51.16%,Bahia,false
ICHU,31,CARLOS SANTIAGO,PHS/DEM / PHS / PTC / PSDB / PEN / PC do B,2495,54.39%,Bahia,false
IGAPORÃ,19,SULY,PTN/PRB / PP / PT / PMDB / PTN / PC do B,4902,51.84%,Bahia,false
IGRAPIÚNA,40,LÉO,PSB/PSB / PDT / PC do B / PEN / PT / PP / PRP / PSD / PTN,4945,69.48%,Bahia,false
IGUAÍ,55,RONY MOITINHO,PSD/PT / PR / PPS / PSD / PMDB / PC do B,7226,53.58%,Bahia,false
ILHÉUS,55,DR. MARIO ALEXANDRE - MARÃO,PSD/PSD / PSL / PTB / REDE / PT do B,36019,41.83%,Bahia,false
INHAMBUPE,23,NENA,PPS/PPS / PRTB / PRP / PRB / PSB / PSL / PROS / PR / PSDB / PV / REDE / SD,10638,55.67%,Bahia,false
IPECAETÁ,15,SUEDER SILVA,PMDB/PRB / PMDB / PTN / PSC / DEM / PRP,5724,52.03%,Bahia,false
IPIAÚ,11,MARIA,PP/PP / PSD / PT / PV / PSB / PSL / PSC / PEN,12790,57.79%,Bahia,false
IPIRÁ,25,MARCELO BRANDÃO,DEM/PRB / PMDB / PTN / DEM / PSDB,17955,52.41%,Bahia,false
IPUPIARA,11,ASCIR  LEITE,PP/PP / DEM / PR,3676,56.17%,Bahia,false
IRAJUBA,55,JERINHO,PSD/PT / PSC / PSDB / PP / PSD / PC do B,2054,48.64%,Bahia,false
IRAMAIA,65,PROFESSORA BETE,PC do B/PC do B / PSB,340,1%,Bahia,false
IRAQUARA,40,FREITAS,PSB/PT / PMDB / PTB / PSB / PR,4572,1%,Bahia,false
IRARÁ,25,JUSCELINO,DEM/DEM / PSB / SD / PMDB / PR / PPS / PSDC / PV,9037,51.57%,Bahia,false
IRECÊ,40,ELMO VAZ,PSB/PSB / PV / PT / PPS / PC do B / PTB / REDE,17334,51.13%,Bahia,false
ITABELA,10,LUCIANO FRANCISQUETO,PRB/PRB / PRTB / PV / PROS / PTB / PSDC / PP / PMB / PC do B / PT do B / PTC / REDE,5496,37.02%,Bahia,false
ITABERABA,40,RICARDO MASCARENHAS,PSB/PSB / PSD / PP / PT do B / PRB / PTB / PHS,16445,55.44%,Bahia,false
ITABUNA,12,DR MANGABEIRA,PDT/PDT,18813,26.41%,Bahia,false
ITACARÉ,13,ANTONIO DE ANIZIO,PT/PT / PP / PTN / PR / PEN / PPL,4437,38.87%,Bahia,false
ITAETÉ,13,VALDES BRITO,PT/PP / PT / PTB / PSL,3689,48.4%,Bahia,false
ITAGI,23,DR. OLIVAL,PPS/PRB / PP / PDT / PPS / PHS / PSC / PV,4192,55.33%,Bahia,false
ITAGIBÁ,25,GILSON FONSECA,DEM/DEM / PTC / PDT / PSL / PP,4314,51.41%,Bahia,false
ITAGIMIRIM,15,DEVANIR,PMDB/PRB / PDT / PMDB / PTN / PR / DEM / PTC / PSB / PSDB,3037,61.38%,Bahia,false
ITAGUAÇU DA BAHIA,55,IVAN,PSD/PSD / PSL / PRB / PMDB / DEM / PTB,4743,57.91%,Bahia,false
ITAJU DO COLÔNIA,45,DJALMA,PSDB/PSDB / PR / DEM / PMDB / PSL / PTC / PC do B / PROS,2388,56.82%,Bahia,false
ITAJUÍPE,55,MARCONE AMARAL,PSD/PP / PT / PTN / PR / PSD / PC do B / PTC / PRP,6787,52.51%,Bahia,false
ITAMARAJU,45,DR. MARCELO,PSDB/PSDB / PPS / SD / DEM / PSDC / PROS / PEN / PRTB / PHS,14848,46.42%,Bahia,false
ITAMARI,17,PALOMA,PSL/PRB / PSL / PSC / PT do B / PRP,2744,52.73%,Bahia,false
ITAMBÉ,15,EDUARDO GAMA,PMDB/PRB / PP / PT / PMDB / PTN / DEM / PSB / PC do B / PT do B / SD / PROS / PTC,7030,52.33%,Bahia,false
ITANAGRA,17,DANIA,PSL/PSL / PSC / PR / PTN / PV,1847,46.3%,Bahia,false
ITANHÉM,15,ZULMA PINHEIRO,PMDB/PMDB / PSDB / PTB / PRB / PSL / PSC / PC do B,6174,52.45%,Bahia,false
ITAPARICA,12,PROF. MARLYLDA,PDT/PDT / PR / PRB / PT / PT do B / PSL / PHS / PSC / PC do B / PRTB / PTC / PTN / PPS,8808,66.54%,Bahia,false
ITAPÉ,11,NAELITON,PP/PP / PSC / PT / PSD / PC do B / PSB / PTC / PRB,3622,52.11%,Bahia,false
ITAPEBI,11,PEBA,PP/PP / PEN / PSL / PSB / PRTB / PR / PPS,3643,57.04%,Bahia,false
ITAPETINGA,15,RODRIGO HAGGE,PMDB/PMDB / DEM / PPS / PHS / PMB / PSB / PTB,19827,55.96%,Bahia,false
ITAPICURU,55,MAGNO,PSD/PSD / PSL / PTB / PR / PDT / SD / PT / PMDB / PMB,8157,51.83%,Bahia,false
ITAPITANGA,40,DERNIVAL,PSB/PP / PT / PSD / PSB,2402,50.59%,Bahia,false
ITAQUARA,40,MARCO DE DR. GEO,PSB/PSB / PSL / PSD / PP,2572,50.36%,Bahia,false
ITARANTIM,25,PAULO CONSTRUÇÃO,DEM/DEM / PMDB / PMB,5502,51.3%,Bahia,false
ITATIM,55,TINGÃO,PSD/PSD / PT do B / PPS / PRB / PSB / PR / PTB,6264,72.54%,Bahia,false
ITIRUÇU,10,LORENNA DI GREGORIO,PRB/PRB / PSD / DEM / PPS / PMDB / PC do B / PT / PR,4262,63%,Bahia,false
ITIÚBA,65,CECILIA,PC do B/PC do B / PP / PTB / PSL / PTN / PR / PTC / PV / PSDB / SD / PROS,10800,54.68%,Bahia,false
ITORORÓ,45,DOUTOR ADAUTO,PSDB/PSDB / PV,7423,60.93%,Bahia,false
ITUAÇU,14,ADALBERTO LUZ,PTB/PTB / PMDB / PP / PSL / DEM / PDT / PT,6058,1%,Bahia,false
ITUBERÁ,15,IRAMAR,PMDB/PMDB / PRP / PROS / PSL / PT do B / PT,6203,43.86%,Bahia,false
IUIU,55,REINALDO GÓES,PSD/PRB / PDT / DEM / PSDC / PSD / PC do B,4112,60.52%,Bahia,false
JABORANDI,45,ASSUERO,PSDB/PSDB / PP / PSB,4153,60.28%,Bahia,false
JACARACI,55,ANTONIO CARLOS,PSD/PSD / PMDB / PEN,5430,60.54%,Bahia,false
